"","total.time","total.pct","self.time","self.pct"
"""eval""",25.7,100,0,0
"""main""",25.7,100,0,0
"""source""",25.7,100,0,0
"""withVisible""",25.7,100,0,0
"""wicmad""",25.5,99.22,0.1,0.39
"""tryCatch""",12.54,48.79,0.32,1.25
"""tryCatchList""",12.2,47.47,0.16,0.62
"""tryCatchOne""",12.04,46.85,0.2,0.78
"""doTryCatch""",11.84,46.07,0.34,1.32
""".Call""",9.44,36.73,9.44,36.73
"""assign_one""",8.88,34.55,0.5,1.95
"""sum_ll_curves""",7.84,30.51,0,0
"""fast_icm_loglik_curves_batch""",7.76,30.19,0,0
"""cc_switch_kernel_eig""",6.08,23.66,0.04,0.16
"""compute_mu_from_beta""",5.52,21.48,0.14,0.54
""".build_icm_cache""",5.48,21.32,1.38,5.37
"""mh_update_kernel_eig""",3.26,12.68,0.06,0.23
"""ll_curve_k""",3.02,11.75,0.2,0.78
"""wt_inverse_1d""",2.7,10.51,0.86,3.35
"""wt_forward_mat""",2.64,10.27,0.12,0.47
"""wt_forward_1d""",2.48,9.65,0.92,3.58
"""fast_icm_loglik_curve""",2.18,8.48,0.12,0.47
"""try""",2.18,8.48,0.02,0.08
"""ensure_complete_cache""",2.04,7.94,0.16,0.62
"""fast_icm_loglik_curve_eigen""",1.7,6.61,0.02,0.08
"""chol""",1.4,5.45,0.58,2.26
"""mh_update_eta_eig""",1.4,5.45,0,0
"""waveslim::idwt""",1.26,4.9,0.34,1.32
"""eigen""",1.24,4.82,0.62,2.41
"""mh_update_tauB_eig""",1.22,4.75,0.02,0.08
"""mh_update_L_eig""",1.18,4.59,0.02,0.08
"""as.matrix""",1.16,4.51,0.86,3.35
"""paste""",1.08,4.2,1.02,3.97
"""waveslim::dwt""",0.98,3.81,0.44,1.71
"""eig_Kx""",0.78,3.04,0.02,0.08
"""paste0""",0.72,2.8,0.72,2.8
"""chol.default""",0.64,2.49,0.1,0.39
"""cmpfun""",0.58,2.26,0,0
"""compiler:::tryCmpfun""",0.58,2.26,0,0
"""kc$fun""",0.54,2.1,0.04,0.16
"""dist_rows""",0.54,2.1,0.02,0.08
"""update_cluster_wavelet_params_besov""",0.48,1.87,0.08,0.31
"""wave.filter""",0.48,1.87,0.08,0.31
"""kcfg$fun""",0.46,1.79,0,0
"""diag""",0.44,1.71,0.28,1.09
"""h""",0.44,1.71,0.06,0.23
"""cmp""",0.44,1.71,0.02,0.08
"""cmpCall""",0.44,1.71,0,0
"""genCode""",0.44,1.71,0,0
"""tryInline""",0.44,1.71,0,0
"""rev""",0.38,1.48,0.28,1.09
"""select.la8""",0.38,1.48,0.04,0.16
"""kern_cfg$fun""",0.36,1.4,0,0
"""qmf""",0.34,1.32,0.06,0.23
"""k_mat52""",0.3,1.17,0.02,0.08
"""lapply""",0.28,1.09,0.14,0.54
"""eig_Bshape""",0.28,1.09,0.02,0.08
"""cmpForBody""",0.26,1.01,0,0
"""k_periodic""",0.26,1.01,0,0
"""stats::dist""",0.24,0.93,0.08,0.31
"""numeric""",0.22,0.86,0.2,0.78
"""structure""",0.22,0.86,0.12,0.47
"""unname""",0.2,0.78,0.04,0.16
"""length""",0.18,0.7,0.18,0.7
"""add_bias_to_mu""",0.18,0.7,0.14,0.54
"""FUN""",0.18,0.7,0.06,0.23
"""cmpSymbolAssign""",0.18,0.7,0,0
"""k_sqexp""",0.18,0.7,0,0
"""c""",0.16,0.62,0.16,0.62
"""exp""",0.16,0.62,0.16,0.62
"""inherits""",0.16,0.62,0.16,0.62
"""load_arrowhead_data""",0.16,0.62,0,0
""".C""",0.14,0.54,0.14,0.54
"""stick_to_pi""",0.14,0.54,0.14,0.54
"""ensure_dyadic_J""",0.14,0.54,0.12,0.47
"""stopifnot""",0.14,0.54,0.1,0.39
"""as.matrix.dist""",0.14,0.54,0.08,0.31
"""pmax""",0.14,0.54,0.02,0.08
"""[[""",0.12,0.47,0.12,0.47
"""sample.int""",0.12,0.47,0.06,0.23
"""getInlineInfo""",0.12,0.47,0.04,0.16
"""is.finite""",0.1,0.39,0.1,0.39
"""matrix""",0.1,0.39,0.1,0.39
"""rev.default""",0.1,0.39,0.1,0.39
"""vapply""",0.1,0.39,0.08,0.31
"""as.list""",0.1,0.39,0.04,0.16
"""k_mat32""",0.1,0.39,0.02,0.08
"""cmpComplexAssign""",0.1,0.39,0,0
"""findLocalsList""",0.1,0.39,0,0
"""findLocalsList1""",0.1,0.39,0,0
"""funEnv""",0.1,0.39,0,0
"""make.functionContext""",0.1,0.39,0,0
"""sin""",0.08,0.31,0.08,0.31
"""strsplit""",0.08,0.31,0.08,0.31
"""sum""",0.08,0.31,0.08,0.31
"""findCenvVar""",0.08,0.31,0.06,0.23
"""snap_k""",0.08,0.31,0.02,0.08
"""constantFold""",0.08,0.31,0,0
"""constantFoldCall""",0.08,0.31,0,0
"""$""",0.06,0.23,0.06,0.23
"""+""",0.06,0.23,0.06,0.23
"""any""",0.06,0.23,0.06,0.23
"""as.list.default""",0.06,0.23,0.06,0.23
"""stack_D_from_precomp""",0.06,0.23,0.06,0.23
"""isTRUE""",0.06,0.23,0.04,0.16
"""cmpSubsetDispatch""",0.06,0.23,0.02,0.08
"""cb$putconst""",0.06,0.23,0,0
"""cmpCallArgs""",0.06,0.23,0,0
"""cmpCallSymFun""",0.06,0.23,0,0
"""cmpSetterCall""",0.06,0.23,0,0
